account_id,owner_id,bank_name
ACC001,P001,National Trust Bank
ACC002,P002,Metro Bank
ACC003,P003,Metro Bank
ACC004,P004,Horizon Bank
ACC005,P005,National Trust Bank
ACC006,P006,Horizon Bank
ACC007,P007,Horizon Bank
ACC008,P008,National Trust Bank
ACC009,P009,State Bank
ACC010,P010,State Bank
ACC011,P011,Horizon Bank
ACC012,P012,Unity Bank
ACC013,P013,Horizon Bank
ACC014,P014,Horizon Bank
ACC015,P015,Horizon Bank
ACC016,P016,State Bank
ACC017,P017,State Bank
ACC018,P018,State Bank
ACC019,P019,Horizon Bank
ACC020,P020,Unity Bank
ACC021,P021,State Bank
ACC022,P022,National Trust Bank
ACC023,P023,National Trust Bank
ACC024,P024,National Trust Bank
ACC025,P025,Metro Bank
ACC026,P026,Horizon Bank
ACC027,P027,National Trust Bank
ACC028,P028,Horizon Bank
ACC029,P029,National Trust Bank
ACC030,P030,Unity Bank
ACC031,P031,Horizon Bank
ACC032,P032,National Trust Bank
ACC033,P033,State Bank
ACC034,P034,Horizon Bank
ACC035,P035,Metro Bank
ACC036,P036,State Bank
ACC037,P037,State Bank
ACC038,P038,Metro Bank
ACC039,P039,State Bank
ACC040,P040,State Bank
ACC041,P041,National Trust Bank
ACC042,P042,National Trust Bank
ACC043,P043,Horizon Bank
ACC044,P044,Horizon Bank
ACC045,P045,Horizon Bank
ACC046,P046,National Trust Bank
ACC047,P047,Horizon Bank
ACC048,P048,State Bank
ACC049,P049,National Trust Bank
ACC050,P050,Horizon Bank
ACC051,P051,State Bank
ACC052,P052,Horizon Bank
ACC053,P053,Unity Bank
ACC054,P054,Horizon Bank
ACC055,P055,Unity Bank
ACC056,P056,Horizon Bank
ACC057,P057,Metro Bank
ACC058,P058,Horizon Bank
ACC059,P059,National Trust Bank
ACC060,P060,National Trust Bank
ACC061,P061,Unity Bank
ACC062,P062,National Trust Bank
ACC063,P063,State Bank
ACC064,P064,Metro Bank
ACC065,P065,Metro Bank
ACC066,P066,State Bank
ACC067,P067,Unity Bank
ACC068,P068,State Bank
ACC069,P069,State Bank
ACC070,P070,Metro Bank
ACC071,P071,Horizon Bank
ACC072,P072,Metro Bank
ACC073,P073,Metro Bank
ACC074,P074,National Trust Bank
ACC075,P075,State Bank
ACC076,P076,Metro Bank
ACC077,P077,State Bank
ACC078,P078,National Trust Bank
ACC079,P079,State Bank
ACC080,P080,Metro Bank
