caller_number,receiver_number,timestamp,duration_seconds
9950047974,9595327877,2026-04-18 01:26:15.628707,1737
9005411998,9515186449,2026-07-01 11:06:27.628741,872
9375243106,9740345054,2026-03-08 20:35:13.628750,12
9569092755,9398225871,2026-03-25 16:47:29.628757,1309
9277221704,9623924075,2026-07-22 05:30:51.628762,909
9787298259,9205493296,2026-05-22 08:17:35.628768,1153
9521818835,9685054235,2026-03-14 21:47:22.628773,1420
9359774688,9986800025,2026-03-07 07:01:51.628777,1714
9884422583,9309728962,2026-06-15 14:04:52.628782,308
9922995900,9880592962,2026-03-08 10:03:51.628787,636
9217271551,9640391065,2026-08-14 10:17:33.628792,86
9447394731,9289861434,2026-07-10 17:47:20.628796,516
9826773454,9914865281,2026-05-07 23:23:22.628802,1602
9526949588,9680182422,2026-06-28 19:37:12.628806,1539
9359774688,9518888806,2026-08-15 04:28:56.628811,337
9180170462,9265676618,2026-04-03 16:15:05.628821,849
9212779979,9826137506,2026-07-21 07:46:01.628827,685
9867908740,9680182422,2026-08-03 01:48:52.628832,1376
9742684145,9265676618,2026-04-17 11:40:15.628837,551
9623924075,9867908740,2026-07-14 11:19:15.628841,226
9132370589,9955271774,2026-08-14 00:27:44.628846,968
9980893246,9277901043,2026-08-05 20:41:49.628850,947
9310278681,9796275705,2026-08-06 15:06:16.628855,1633
9095396218,9980893246,2026-03-04 21:24:43.628859,1356
9051522047,9778528922,2026-05-03 00:56:21.628863,575
9978207151,9398225871,2026-04-23 11:56:40.628868,724
9747338484,9801624565,2026-05-16 21:45:50.628873,1396
9903311907,9216558523,2026-05-03 14:23:52.628877,61
9685054235,9277221704,2026-04-03 23:18:50.628882,1194
9277221704,9955271774,2026-03-21 08:19:12.628886,1226
9922995900,9310278681,2026-07-19 18:23:37.628891,1615
9964016582,9922995900,2026-06-26 00:15:56.628895,1052
9685054235,9578291146,2026-08-21 23:07:25.628899,1185
9051522047,9319520585,2026-03-08 21:59:02.628904,1456
9922995900,9696816453,2026-06-09 06:07:55.628908,1656
9216558523,9067240049,2026-07-17 23:54:52.628913,1524
9742684145,9826773454,2026-04-07 13:22:40.628917,750
9922995900,9978207151,2026-07-07 06:41:59.628921,681
9348434437,9964016582,2026-07-07 02:44:14.628929,1741
9733221418,9530463745,2026-08-22 01:39:00.628933,620
9950047974,9796275705,2026-07-07 19:04:26.628937,841
9029702135,9778528922,2026-07-13 16:21:16.628943,610
9787298259,9880592962,2026-04-06 13:10:02.628948,866
9826773454,9132370589,2026-07-09 19:39:29.628952,1537
9826137506,9785854973,2026-06-18 19:21:01.628956,621
9778528922,9787298259,2026-08-09 04:34:07.628961,5
9284511544,9156676527,2026-04-10 02:39:00.628966,885
9867908740,9309728962,2026-06-26 02:22:32.628970,1345
9029702135,9925556258,2026-05-25 01:59:59.628975,910
9019380262,9103697117,2026-06-07 13:22:16.628979,974
9640391065,9742684145,2026-04-02 05:56:49.628984,1354
9255466590,9156676527,2026-06-08 09:18:29.628988,1364
9665240415,9348434437,2026-05-04 09:13:05.628992,196
9251286823,9687833918,2026-04-14 21:41:41.628997,1382
9796275705,9980893246,2026-08-03 21:58:59.629001,412
9794738347,9212779979,2026-03-09 06:29:57.629005,506
9815371473,9785854973,2026-08-12 07:11:32.629010,1578
9820377889,9102767735,2026-05-19 18:33:46.629015,1294
9694097499,9051522047,2026-07-17 18:51:44.629019,1431
9578291146,9470168733,2026-05-16 21:38:42.629024,504
9794738347,9219933083,2026-07-11 19:40:49.629028,16
9687833918,9398225871,2026-08-19 05:41:41.629032,223
9397187072,9424981829,2026-04-11 19:00:05.629037,365
9180170462,9874315274,2026-06-08 20:59:09.629041,956
9005411998,9526949588,2026-04-17 16:28:33.629046,1742
9733221418,9102767735,2026-03-26 04:31:58.629050,1646
9925556258,9826773454,2026-06-11 10:22:54.629055,1149
9263689702,9964016582,2026-07-24 22:50:52.629060,911
9785854973,9251286823,2026-07-17 23:11:14.629065,1038
9424981829,9375243106,2026-08-23 09:22:37.629070,1127
9784473647,9623924075,2026-07-22 16:48:47.629076,1769
9815371473,9784473647,2026-04-19 15:02:52.629080,1544
9706540515,9903311907,2026-07-02 02:50:43.629092,572
9398225871,9397187072,2026-06-09 12:33:39.629097,997
9575844198,9518888806,2026-04-22 14:50:40.629101,905
9820377889,9685161227,2026-04-24 18:43:02.629106,485
9303054868,9569092755,2026-05-01 09:04:56.629110,1111
9255466590,9229270653,2026-03-29 14:02:58.629115,478
9578291146,9915478872,2026-03-29 23:15:06.629120,1451
9103697117,9978207151,2026-05-19 20:33:08.629124,839
9569092755,9986800025,2026-05-29 18:29:32.629128,856
9679807935,9289861434,2026-08-09 00:40:55.629133,865
9578291146,9398225871,2026-06-21 17:08:06.629137,1429
9523124329,9785191088,2026-06-20 02:02:21.629142,784
9210469632,9696816453,2026-05-07 14:26:33.629146,616
9687833918,9578291146,2026-08-13 00:29:00.629150,1716
9535841438,9216558523,2026-07-23 10:48:11.629155,1509
9986800025,9180170462,2026-06-25 10:29:18.629159,456
9595327877,9980893246,2026-04-22 07:05:54.629164,897
9595327877,9212779979,2026-05-14 19:20:01.629168,693
9826773454,9019380262,2026-08-02 06:44:26.629173,833
9530463745,9818141247,2026-08-10 12:10:05.629177,962
9880592962,9348434437,2026-06-12 00:19:27.629182,60
9786691251,9309130756,2026-06-17 21:23:06.629186,1362
9212779979,9255466590,2026-07-03 02:33:29.629191,882
9229270653,9925556258,2026-04-04 14:02:47.629195,107
9277221704,9132370589,2026-05-02 20:42:06.629200,438
9102767735,9029702135,2026-05-04 19:59:39.629204,1563
9132370589,9740345054,2026-07-24 07:44:51.629208,1708
9535841438,9319520585,2026-08-09 10:05:40.629213,172
9815371473,9523124329,2026-07-23 17:50:01.629217,1109
9005411998,9310278681,2026-04-12 20:04:43.629221,1336
9978207151,9397187072,2026-07-04 20:31:28.629230,87
9687833918,9212779979,2026-04-17 07:33:05.629235,413
9903311907,9523124329,2026-06-28 22:45:42.629240,317
9518888806,9880592962,2026-05-31 06:04:56.629246,1376
9685054235,9879470551,2026-04-11 14:54:58.629286,957
9874315274,9319520585,2026-07-27 05:07:55.629294,760
9818141247,9838578652,2026-06-26 05:06:22.629299,1536
9685161227,9685054235,2026-07-29 07:54:02.629304,1682
9623924075,9796275705,2026-03-21 06:54:16.629309,1190
9212779979,9796275705,2026-06-20 02:32:06.629332,1392
9132370589,9786691251,2026-07-17 03:20:16.629343,411
9820377889,9309130756,2026-07-12 09:37:27.629350,1706
9575844198,9706540515,2026-03-20 02:01:20.629355,1432
9398225871,9284511544,2026-08-12 09:46:53.629360,1406
9263689702,9265676618,2026-03-23 19:17:06.629364,1635
9879470551,9867908740,2026-03-08 06:31:25.629371,716
9216558523,9424981829,2026-07-06 18:02:26.629375,763
9978207151,9950047974,2026-07-04 00:53:53.629380,703
9521818835,9535841438,2026-08-06 23:28:03.629385,1008
9914865281,9922995900,2026-05-09 15:02:46.629390,1306
9375243106,9102767735,2026-07-15 15:25:29.629395,318
9922995900,9826137506,2026-07-20 18:51:42.629399,1073
9219933083,9303054868,2026-06-27 21:29:14.629403,1660
9216558523,9397187072,2026-06-02 04:23:22.629408,957
9922995900,9004786863,2026-07-20 05:57:24.629412,1218
9303054868,9029702135,2026-08-12 16:23:55.629416,507
9375243106,9515186449,2026-04-23 11:01:39.629420,928
9706540515,9687833918,2026-05-29 12:49:34.629425,1172
9785854973,9826773454,2026-05-12 21:20:45.629429,693
9212779979,9470168733,2026-08-12 12:51:19.629434,670
9068536153,9595327877,2026-04-10 11:40:40.629438,731
9180170462,9277221704,2026-05-05 09:13:18.629444,577
9263689702,9874315274,2026-08-18 04:43:31.629449,570
9526949588,9521818835,2026-06-08 14:47:06.629453,396
9255466590,9518888806,2026-07-18 02:55:08.629458,837
9595327877,9526949588,2026-07-25 12:25:52.629462,497
9915478872,9815371473,2026-07-03 17:15:12.629466,1462
9595327877,9784473647,2026-08-01 06:27:46.629470,40
9515186449,9758416169,2026-04-12 07:50:30.629475,833
9915478872,9706540515,2026-04-28 18:09:04.629479,1364
9309728962,9884422583,2026-05-31 04:40:53.629484,1138
9168784991,9310278681,2026-05-21 22:07:09.629488,1532
9787298259,9569092755,2026-05-07 14:41:01.629493,1444
9102767735,9303054868,2026-04-28 20:05:40.629497,519
9095396218,9733221418,2026-07-18 08:33:23.629501,399
9964016582,9733221418,2026-07-22 13:12:16.629620,1102
9785191088,9915478872,2026-04-05 05:59:18.629626,397
9103697117,9742684145,2026-06-02 07:39:24.629631,571
9530463745,9309130756,2026-07-25 21:57:12.629635,1079
9263689702,9156676527,2026-03-19 19:36:48.629640,1710
9051522047,9758416169,2026-04-13 11:16:34.629644,744
9826137506,9284511544,2026-03-03 01:03:50.629648,1455
9216558523,9880592962,2026-04-22 13:30:40.629653,98
9005411998,9787298259,2026-04-26 00:34:59.629657,1433
9880592962,9665240415,2026-08-15 22:27:01.629661,1546
9595327877,9914865281,2026-08-16 18:17:47.629665,30
9694097499,9156676527,2026-05-30 10:40:33.629670,985
9109439690,9719285654,2026-04-05 02:19:29.629674,110
9319520585,9210469632,2026-03-22 10:48:44.629679,1688
9978207151,9778528922,2026-06-03 18:49:58.629683,156
9694097499,9575844198,2026-07-11 14:13:17.629687,114
