phone_number,owner_id
9696816453,P001
9521818835,P002
9523124329,P002
9212779979,P003
9955271774,P003
9490581477,P004
9005411998,P004
9679807935,P005
9978207151,P006
9820377889,P007
9255466590,P008
9515186449,P009
9251925462,P009
9914865281,P010
9685054235,P010
9733221418,P011
9880592962,P012
9229270653,P012
9794738347,P013
9359774688,P014
9623924075,P015
9818141247,P016
9826137506,P017
9068536153,P018
9051522047,P019
9277901043,P020
9289861434,P021
9103697117,P022
9980893246,P022
9095396218,P023
9518888806,P024
9706540515,P025
9319520585,P025
9277221704,P026
9303054868,P027
9740345054,P028
9156676527,P028
9758416169,P029
9284511544,P030
9796275705,P031
9964016582,P031
9029702135,P032
9569092755,P033
9719285654,P033
9310278681,P034
9447394731,P035
9217271551,P036
9884422583,P036
9132370589,P037
9578291146,P037
9786691251,P038
9778528922,P039
9680182422,P040
9535841438,P040
9424981829,P041
9922995900,P041
9109439690,P042
9784473647,P042
9102767735,P043
9925556258,P044
9815371473,P044
9210469632,P045
9595327877,P046
9470168733,P047
9950047974,P047
9801624565,P048
9060983584,P048
9168784991,P049
9216558523,P050
9986800025,P051
9787298259,P051
9526949588,P052
9879470551,P053
9694097499,P054
9309728962,P055
9309130756,P056
9263689702,P057
9838578652,P058
9785854973,P059
9348434437,P059
9575844198,P060
9665240415,P060
9747338484,P061
9219933083,P062
9301657120,P062
9826773454,P063
9019380262,P064
9067240049,P065
9915478872,P066
9874315274,P066
9205493296,P067
9685161227,P067
9530463745,P068
9499045301,P069
9742684145,P070
9933272795,P071
9687833918,P072
9785191088,P073
9398225871,P074
9397187072,P074
9867908740,P075
9640391065,P076
9180170462,P077
9265676618,P077
9251286823,P078
9004786863,P079
9375243106,P080
9903311907,P080
9799371240,P057
9659657569,P005
